,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,1665455905,-21.2,-175.2,78.96,69,40,25.32
1,Ribeira Grande,PT,1665456159,38.5167,-28.7,68.77,88,7,1.99
2,Mataura,NZ,1665456159,-46.1927,168.8643,52.03,51,98,8.08
3,Port Alfred,ZA,1665456160,-33.5906,26.891,73.18,72,98,1.01
4,San Cristobal,VE,1665455874,7.7669,-72.225,71.78,92,97,2.33
5,Marquard,ZA,1665456160,-28.6645,27.4305,64.96,49,100,13.0
6,Dawson Creek,CA,1665456160,55.7666,-120.2362,47.84,40,0,9.22
7,Saint-Pierre,RE,1665456161,-21.3393,55.4781,67.68,68,75,4.61
8,Ushuaia,AR,1665456161,-54.8,-68.3,40.66,81,0,4.61
9,Pevek,RU,1665456162,69.7008,170.3133,26.11,72,100,26.96
10,Punta Arenas,CL,1665456162,-53.15,-70.9167,41.11,81,0,6.91
11,Cape Town,ZA,1665455911,-33.9258,18.4232,61.79,73,0,13.8
12,Chokurdakh,RU,1665456162,70.6333,147.9167,19.67,81,91,16.82
13,Kannur,IN,1665456163,11.8675,75.3576,79.14,79,100,2.59
14,Faanui,PF,1665456163,-16.4833,-151.75,78.26,75,14,14.0
15,Antalaha,MG,1665456164,-14.9003,50.2788,66.15,80,28,6.49
16,Dingle,PH,1665456164,10.9995,122.6711,86.45,68,28,3.78
17,Vila Franca do Campo,PT,1665456164,37.7167,-25.4333,72.19,89,61,5.5
18,Rikitea,PF,1665456165,-23.1203,-134.9692,71.96,73,65,2.98
19,Nanortalik,GL,1665456165,60.1432,-45.2371,37.4,92,100,4.72
20,Hermanus,ZA,1665456166,-34.4187,19.2345,63.88,78,100,20.13
21,Torbay,CA,1665456166,47.6666,-52.7314,44.22,81,40,11.5
22,Esso,RU,1665456166,55.9333,158.7,36.52,79,92,4.18
23,Klyuchi,RU,1665456167,52.2667,79.1667,46.72,59,50,12.57
24,Qaanaaq,GL,1665456167,77.484,-69.3632,4.84,60,82,8.1
25,Puerto Ayora,EC,1665456167,-0.7393,-90.3518,66.54,89,93,3.0
26,Kjøllefjord,NO,1665456168,70.9457,27.3465,42.62,87,75,11.5
27,Albany,US,1665456035,42.6001,-73.9662,44.1,93,8,3.44
28,Roald,NO,1665456168,62.5833,6.1333,46.29,76,40,17.27
29,Chui,UY,1665456169,-33.6971,-53.4616,49.05,80,27,6.13
30,Mahébourg,MU,1665456169,-20.4081,57.7,70.09,78,40,9.22
31,Iquique,CL,1665456137,-20.2208,-70.1431,60.84,77,36,3.91
32,Saldanha,ZA,1665456170,-33.0117,17.9442,57.25,95,100,10.27
33,Ancud,CL,1665456170,-41.8697,-73.8203,45.99,85,100,4.03
34,Nikolskoye,RU,1665456170,59.7035,30.7861,44.19,86,6,7.94
35,Maceió,BR,1665456030,-9.6658,-35.7353,78.24,83,75,12.66
36,Ponta do Sol,PT,1665456171,32.6667,-17.1,70.54,71,10,6.98
37,Hong Kong,HK,1665456171,22.2855,114.1577,77.14,47,30,11.99
38,Ixtapa,MX,1665456172,20.7,-105.2,85.23,74,0,0.0
39,Mount Isa,AU,1665456172,-20.7333,139.5,91.17,15,3,6.91
40,Balkhash,KZ,1665456172,46.844,74.9804,38.01,70,0,11.18
41,Sola,VU,1665456173,-13.8833,167.55,80.17,70,36,1.48
42,Busselton,AU,1665456173,-33.65,115.3333,56.8,57,99,12.5
43,Vao,NC,1665456173,-22.6667,167.4833,72.64,65,56,14.81
44,Lalín,ES,1665456174,42.7167,-8.1167,51.85,97,40,2.89
45,Harper,LR,1665456174,4.375,-7.7169,75.42,90,83,3.29
46,Bathsheba,BB,1665456174,13.2167,-59.5167,83.01,83,40,16.11
47,Leh,IN,1665456175,34.1667,77.5833,42.53,48,100,4.07
48,Garden City,US,1665456175,42.3256,-83.331,52.57,79,40,3.44
49,Rockland,US,1665456176,41.1668,-74.0496,49.15,84,7,3.06
50,Khatanga,RU,1665456176,71.9667,102.5,10.85,95,91,3.27
51,Saint Paul Harbor,US,1665456176,57.79,-152.4072,54.91,62,100,3.44
52,Nishihara,JP,1665456177,26.1842,127.7558,74.71,67,75,21.85
53,Hilo,US,1665455976,19.7297,-155.09,79.79,86,100,5.75
54,Hokitika,NZ,1665456177,-42.7167,170.9667,56.86,69,33,8.41
55,Doba,TD,1665456178,8.65,16.85,69.53,96,55,1.7
56,Tavda,RU,1665456178,58.0425,65.2726,42.58,92,55,4.94
57,Thompson,CA,1665456178,55.7435,-97.8558,60.96,51,20,11.5
58,Sur,OM,1665456179,22.5667,59.5289,82.24,33,5,1.68
59,Itarema,BR,1665456179,-2.9248,-39.9167,77.94,82,7,15.08
60,Batagay,RU,1665456179,67.6333,134.6333,20.43,84,22,4.61
61,Hobart,AU,1665456008,-42.8794,147.3294,66.15,58,75,8.05
62,Mercedes,AR,1665456180,-34.6515,-59.4307,52.75,76,19,8.43
63,Barrow,US,1665456115,71.2906,-156.7887,30.22,86,75,17.27
64,Pemangkat,ID,1665456180,1.1667,108.9667,81.82,72,94,3.69
65,Mossamedes,AO,1665456181,-15.1961,12.1522,65.25,92,56,8.05
66,Jamestown,US,1665456171,42.097,-79.2353,44.04,88,0,5.75
67,Kiruna,SE,1665456074,67.8557,20.2251,41.92,87,100,11.5
68,Kinshasa,CD,1665456122,-4.3246,15.3215,73.78,88,40,3.44
69,Bengkulu,ID,1665456181,-3.8004,102.2655,81.23,71,100,2.06
70,Nouakchott,MR,1665456025,18.0858,-15.9785,78.73,79,99,12.12
71,Mount Gambier,AU,1665456182,-37.8333,140.7667,67.51,48,100,13.18
72,Wattegama,LK,1665456183,6.7989,81.4808,81.84,69,21,5.03
73,Airai,TL,1665456183,-8.9266,125.4092,74.21,49,100,1.99
74,Coahuayana Viejo,MX,1665456184,18.7333,-103.6833,78.78,81,57,2.89
75,Cherskiy,RU,1665456184,68.75,161.3,21.42,91,95,20.2
76,Port Augusta,AU,1665456185,-32.5,137.7667,78.64,18,91,20.87
77,Taoudenni,ML,1665456185,22.6783,-3.9836,86.67,24,11,10.4
78,Atar,MR,1665456185,20.5169,-13.0499,89.19,25,58,7.34
79,Vestmannaeyjar,IS,1665456186,63.4427,-20.2734,43.16,83,100,30.27
80,Vila,PT,1665456053,42.0304,-8.1588,48.7,94,1,3.58
81,Jasper,US,1665456187,37.2001,-94.3502,64.96,81,75,5.75
82,Hithadhoo,MV,1665456187,-0.6,73.0833,81.19,78,100,19.22
83,Atuona,PF,1665456188,-9.8,-139.0333,76.75,74,28,15.37
84,Talnakh,RU,1665456188,69.4865,88.3972,34.21,99,100,4.88
85,Nicoya,CR,1665456166,10.1483,-85.452,74.37,94,100,1.12
86,Ahipara,NZ,1665456188,-35.1667,173.1667,65.21,62,99,2.73
87,Saskylakh,RU,1665456189,71.9167,114.0833,13.86,94,79,8.46
88,Centralia,US,1665456189,46.7162,-122.9543,61.03,87,100,3.44
89,Bāneh,IR,1665456190,35.9975,45.8853,46.85,60,0,1.83
90,Matane,CA,1665456064,48.8286,-67.522,41.38,73,77,14.54
91,Campbell River,CA,1665456068,50.0163,-125.2446,55.49,44,20,11.5
92,Hasaki,JP,1665456190,35.7333,140.8333,77.4,47,100,10.67
93,Flinders,AU,1665456191,-34.5833,150.8552,65.03,63,88,8.77
94,George Town,MY,1665456191,5.4112,100.3354,85.08,75,20,5.75
95,Aswān,EG,1665456191,24.0934,32.907,73.63,41,0,11.03
96,Tuktoyaktuk,CA,1665456192,69.4541,-133.0374,32.0,74,100,12.66
97,Kaitangata,NZ,1665456192,-46.2817,169.8464,52.38,55,96,11.34
98,Osakarovka,KZ,1665456193,50.565,72.5692,42.55,60,14,8.59
99,Road Town,VG,1665455903,18.4167,-64.6167,82.49,76,63,15.43
100,Upernavik,GL,1665456193,72.7868,-56.1549,18.03,67,99,3.65
101,Yellowknife,CA,1665456127,62.456,-114.3525,45.12,57,40,12.66
102,Poltavka,RU,1665456194,54.3663,71.7632,45.9,73,93,11.65
103,Hofn,IS,1665456194,64.2539,-15.2082,34.32,62,42,9.19
104,Saint George,US,1665455968,37.1041,-113.5841,75.67,26,0,5.75
105,Carnarvon,AU,1665456195,-24.8667,113.6333,66.0,53,80,22.66
106,Gravdal,NO,1665456195,68.1214,13.5031,47.46,83,87,36.04
107,Deputatsky,RU,1665456196,69.3,139.9,10.72,90,62,5.37
108,Guerrero Negro,MX,1665456196,27.9769,-114.0611,70.18,84,30,14.83
109,Ninove,BE,1665456196,50.8284,4.0047,40.66,95,6,1.57
110,Bitung,ID,1665456197,1.4451,125.1824,85.05,69,97,1.95
111,Avarua,CK,1665456197,-21.2078,-159.775,75.25,78,75,26.46
112,Mbengwi,CM,1665456197,6.0167,10.0,62.74,93,82,1.23
113,Bambous Virieux,MU,1665456198,-20.3428,57.7575,70.05,78,40,9.22
114,Vazhiny,RU,1665456198,60.9644,34.0222,40.28,92,0,6.15
115,North Bend,US,1665456199,43.4065,-124.2243,57.61,98,100,14.97
116,Keflavik,IS,1665456199,64.0049,-22.5624,43.18,87,100,20.71
117,Pontes e Lacerda,BR,1665456200,-15.2261,-59.3353,71.65,84,36,3.29
118,Sítio Novo do Tocantins,BR,1665456200,-5.5183,-47.4611,81.43,54,92,1.5
119,Moose Factory,CA,1665456200,51.2585,-80.6094,48.18,57,100,17.27
120,Auki,SB,1665456201,-8.7676,160.7034,81.18,77,62,2.82
121,Terrace Bay,CA,1665456201,48.7834,-87.1,45.45,80,100,11.36
122,Butaritari,KI,1665456202,3.0707,172.7902,81.0,80,99,14.7
123,Vila Velha,BR,1665456179,-20.3297,-40.2925,76.95,88,40,6.91
124,The Valley,AI,1665456202,18.217,-63.0578,82.26,77,17,17.0
125,Kudahuvadhoo,MV,1665456203,2.6708,72.8944,80.94,79,100,22.01
126,Mar del Plata,AR,1665456017,-38.0023,-57.5575,48.99,77,0,11.01
127,Bluff,NZ,1665456203,-46.6,168.3333,50.16,55,62,16.35
128,Labuan,MY,1665456204,5.2767,115.2417,84.09,74,20,5.99
129,Katsuura,JP,1665456204,35.1333,140.3,73.72,44,92,19.69
130,Batagay-Alyta,RU,1665456205,67.8006,130.4114,16.05,77,18,4.0
131,Kavaratti,IN,1665456205,10.5669,72.642,80.67,77,96,5.86
132,Portland,US,1665456151,45.5234,-122.6762,67.59,70,75,6.91
133,Kimbe,PG,1665456206,-5.5502,150.1429,89.31,55,99,8.34
134,Kulachi,PK,1665456206,31.9286,70.4592,79.52,38,0,3.44
135,Bako,ET,1665456207,5.7833,36.5667,60.37,83,22,3.71
136,Clyde River,CA,1665456207,70.4692,-68.5914,14.23,79,40,16.11
137,Quelimane,MZ,1665456207,-17.8786,36.8883,70.0,94,3,1.45
138,Horta,PT,1665456208,38.5333,-28.6333,68.02,88,15,1.99
139,Yar-Sale,RU,1665456208,66.8333,70.8333,37.63,91,100,14.23
140,Daugavpils,LV,1665456208,55.8833,26.5333,40.6,87,10,9.95
141,Bambanglipuro,ID,1665456209,-7.95,110.2833,81.09,78,100,10.02
142,Vaitape,PF,1665456209,-16.5167,-151.75,78.22,75,13,14.14
143,Alekseyevka,RU,1665456210,50.6309,38.6903,49.46,93,100,15.95
144,Esperance,AU,1665456210,-33.8667,121.9,55.24,57,89,19.37
145,Padang,ID,1665456210,-0.9492,100.3543,84.25,69,100,2.39
146,Udachny,RU,1665456211,66.4167,112.4,34.45,86,81,8.3
147,Srandakan,ID,1665456211,-7.9386,110.2506,80.87,79,100,9.62
148,Tasiilaq,GL,1665456212,65.6145,-37.6368,35.76,97,100,19.53
149,Marmaris,TR,1665456212,36.855,28.2742,68.11,63,2,3.47
150,Bredasdorp,ZA,1665456213,-34.5322,20.0403,65.48,53,100,8.1
151,Port Elizabeth,ZA,1665456214,-33.918,25.5701,66.49,82,0,3.44
152,Bushehr,IR,1665456183,28.9684,50.8385,73.49,78,0,0.0
153,Cootamundra,AU,1665456012,-34.65,148.0333,66.94,65,100,8.86
154,New Norfolk,AU,1665456214,-42.7826,147.0587,61.95,49,100,3.0
155,Kruisfontein,ZA,1665456215,-34.0033,24.7314,71.06,47,100,5.64
156,Sinnamary,GF,1665456215,5.3833,-52.95,78.98,89,45,10.04
157,Raudeberg,NO,1665456216,61.9875,5.1352,43.47,69,100,25.95
158,Sitka,US,1665456216,57.0531,-135.33,48.09,87,100,8.05
159,Narsaq,GL,1665456216,60.9167,-46.05,34.02,98,100,3.83
160,Coquimbo,CL,1665456217,-29.9533,-71.3436,51.53,87,0,3.44
161,Entre Rios,BR,1665456217,-11.9419,-38.0844,68.54,93,7,4.07
162,Touros,BR,1665456217,-5.1989,-35.4608,77.65,76,27,17.76
163,Darhan,MN,1665456218,49.4867,105.9228,44.69,41,100,4.79
164,Cimişlia,MD,1665456218,46.52,28.7842,33.94,64,7,1.28
165,Karacabey,TR,1665456219,40.2152,28.4038,62.98,90,54,2.06
166,Fare,PF,1665456219,-16.7,-151.0167,78.19,74,11,14.2
167,Tawang Town,IN,1665456219,27.5833,91.8667,57.15,82,87,4.61
168,Urengoy,RU,1665456220,65.9667,78.3667,38.59,89,100,10.89
169,Quthing,LS,1665456220,-30.4,27.7003,67.1,39,100,5.53
170,Anjozorobe,MG,1665456220,-18.4,47.8667,49.39,63,0,2.39
171,Longyearbyen,SJ,1665456221,78.2186,15.6401,33.64,69,20,16.11
172,Castro,BR,1665456221,-24.7911,-50.0119,58.19,97,100,6.42
173,Tiksi,RU,1665456222,71.6872,128.8694,15.84,81,100,13.35
174,Norman Wells,CA,1665456222,65.282,-126.8329,32.04,80,75,27.63
175,Lebu,CL,1665456223,-37.6167,-73.65,48.22,82,24,15.59
176,Ilulissat,GL,1665456223,69.2167,-51.1,35.62,51,75,13.8
177,Souillac,MU,1665456223,-20.5167,57.5167,70.18,78,40,9.22
178,Provideniya,RU,1665456224,64.3833,-173.3,32.11,74,40,13.42
179,Salihorsk,BY,1665456224,52.7876,27.5415,38.55,82,78,6.93
180,San Miguel de Sema,CO,1665456224,5.5178,-73.7221,47.62,97,85,4.56
181,São Pedro do Sul,BR,1665456225,-29.6206,-54.1789,52.45,98,100,7.61
182,Broome,US,1665456225,42.2506,-75.833,44.49,89,0,4.61
183,Gornyy,RU,1665456226,55.1153,83.9059,44.51,72,100,20.33
184,Kaeo,NZ,1665456226,-35.1,173.7833,67.32,71,84,6.69
185,Yaan,NG,1665456226,7.3833,8.5667,70.86,98,97,5.68
186,Anloga,GH,1665456227,5.7947,0.8973,77.79,85,63,5.88
187,Kaufungen,DE,1665456227,51.2811,9.6186,43.47,96,3,1.61
188,Portel,BR,1665456228,-1.9356,-50.8211,75.04,86,80,1.14
189,Halifax,CA,1665456228,44.6453,-63.5724,48.06,77,13,8.05
190,Kuytun,RU,1665456228,54.3419,101.5036,44.53,73,67,11.86
191,Arraial do Cabo,BR,1665456229,-22.9661,-42.0278,70.9,93,66,6.04
192,Klaksvík,FO,1665456229,62.2266,-6.589,38.32,65,100,8.55
193,Biharamulo,TZ,1665456230,-2.6319,31.3089,63.27,78,88,1.92
194,Fortuna,US,1665456230,40.5982,-124.1573,54.73,85,23,1.9
195,La Rioja,ES,1665456230,42.25,-2.5,49.78,76,100,0.94
196,Pisco,PE,1665456231,-13.7,-76.2167,60.85,82,0,13.8
197,Naze,JP,1665456231,28.3667,129.4833,76.12,55,100,16.49
198,Laï,TD,1665456231,9.3952,16.2989,71.02,88,48,3.02
199,Plettenberg Bay,ZA,1665456232,-34.0527,23.3716,69.98,55,100,2.73
200,Palmer,US,1665456023,42.1584,-72.3287,45.3,86,40,0.0
201,Mildura,AU,1665456150,-34.2,142.15,76.06,30,68,14.72
202,Lernanist,AM,1665456233,40.4678,44.7924,35.76,70,40,1.19
203,Salinas,US,1665456233,36.6777,-121.6555,56.8,88,100,9.22
204,Iqaluit,CA,1665456233,63.7506,-68.5145,22.73,86,75,12.66
205,Orsha,BY,1665456234,54.5153,30.4053,37.78,83,75,5.17
206,Montluçon,FR,1665456234,46.3333,2.6,54.7,97,100,2.28
207,Pemba,MZ,1665456235,-12.974,40.5178,72.3,88,40,3.44
208,Dunedin,NZ,1665456235,-45.8742,170.5036,50.81,70,100,13.0
209,Novikovo,RU,1665456235,51.1537,37.8879,49.46,90,100,16.06
210,Marzuq,YE,1665456236,14.4,46.4667,68.88,64,32,1.48
211,Soyo,AO,1665456236,-6.1349,12.3689,75.99,87,40,8.43
212,Beloha,MG,1665456237,-25.1667,45.05,67.12,95,40,6.15
213,Corner Brook,CA,1665456009,48.9667,-57.9484,37.56,79,69,8.03
214,Torbat-e Jām,IR,1665456237,35.244,60.6225,61.48,19,0,5.01
215,Zhigansk,RU,1665456237,66.7697,123.3711,21.36,85,22,9.64
216,Caravelas,BR,1665456238,-17.7125,-39.2481,75.58,72,10,8.21
217,Beringovskiy,RU,1665456238,63.05,179.3167,33.73,47,33,9.22
218,General Roca,AR,1665456238,-39.0333,-67.5833,62.47,16,98,8.1
219,Alugan,PH,1665456239,12.2188,125.4808,88.03,63,46,5.19
220,Lavrentiya,RU,1665456239,65.5833,-171.0,28.99,57,14,6.64
221,East London,ZA,1665456240,-33.0153,27.9116,68.41,81,100,16.49
222,Muros,ES,1665456240,42.7762,-9.0603,58.84,93,5,7.43
223,Ortaköy,TR,1665456241,38.7373,34.0387,39.45,74,2,3.58
224,Cabinda,AO,1665456241,-5.55,12.2,76.1,89,70,6.51
225,Watsa,CD,1665456241,3.0372,29.5355,60.93,99,84,2.98
226,Killybegs,IE,1665456242,54.6333,-8.45,49.57,85,94,9.19
227,Ankang,CN,1665455951,32.68,109.0172,60.28,58,0,0.92
228,Cupira,BR,1665456242,-8.6167,-35.95,66.76,91,50,5.59
229,Sakakah,SA,1665456243,29.9697,40.2064,72.97,38,0,7.4
230,Buin,CL,1665456243,-33.7333,-70.75,54.63,77,0,1.19
231,Kavieng,PG,1665456158,-2.5744,150.7967,84.94,60,40,5.37
232,Tonantins,BR,1665456244,-2.8731,-67.8022,74.23,86,66,0.76
233,Murray Bridge,AU,1665456244,-35.1167,139.2667,72.12,30,100,14.65
234,Dhidhdhoo,MV,1665456245,6.8833,73.1,80.76,81,97,17.72
235,Anantapur,IN,1665456245,14.6833,77.6,77.65,80,100,7.0
236,Sabak,MY,1665456245,3.7675,100.9875,87.84,57,90,2.93
237,Aklavik,CA,1665456246,68.2191,-135.0107,26.65,93,100,2.46
238,Nemuro,JP,1665456246,43.3236,145.575,56.46,84,98,13.76
239,Lewisporte,CA,1665456247,49.2499,-55.0482,38.55,71,69,7.36
240,Cabo San Lucas,MX,1665456247,22.8909,-109.9124,84.51,57,0,10.36
241,Kemijärvi,FI,1665456247,66.7131,27.4306,46.0,84,100,13.65
242,Te Anau,NZ,1665456248,-45.4167,167.7167,58.23,44,6,3.09
243,Kodinsk,RU,1665456248,58.6881,99.1844,41.65,94,100,9.08
244,Bilibino,RU,1665456248,68.0546,166.4372,16.61,95,100,7.45
245,Nālūt,LY,1665456249,30.3333,10.85,73.8,25,98,9.17
246,Fairbanks,US,1665456249,64.8378,-147.7164,31.84,82,100,4.61
247,Mailsi,PK,1665456250,29.8003,72.1758,80.47,60,0,5.37
248,Břasy,CZ,1665456250,49.837,13.5783,45.23,100,96,2.19
249,Hambantota,LK,1665456251,6.1241,81.1185,79.14,100,20,4.61
250,Cidreira,BR,1665456251,-30.1811,-50.2056,59.58,97,100,11.9
251,Kununurra,AU,1665456251,-15.7667,128.7333,96.78,32,11,6.91
252,Westport,US,1665456218,41.1415,-73.3579,51.66,79,0,3.44
253,Polovinnoye,RU,1665456252,54.7914,65.9864,46.0,76,100,7.45
254,Ukiah,US,1665456007,39.1502,-123.2078,71.11,35,0,0.0
255,Ossora,RU,1665456252,59.2353,163.0719,41.65,62,52,13.38
256,Makkah al Mukarramah,SA,1665456253,21.4267,39.8261,78.58,62,0,1.12
257,Verkhnetulomskiy,RU,1665456253,68.6073,31.7962,44.73,86,100,9.26
258,Wajima,JP,1665456254,37.4,136.9,65.08,72,75,16.11
259,Vardø,NO,1665456254,70.3705,31.1107,44.58,93,100,12.66
260,Imeni Poliny Osipenko,RU,1665456255,52.4201,136.4853,43.34,59,100,16.93
261,Sabha,LY,1665456255,27.0377,14.4283,69.46,32,23,6.69
262,Camacha,PT,1665456255,33.0833,-16.3333,67.42,78,40,13.8
263,Pacific Grove,US,1665456101,36.6177,-121.9166,55.54,92,100,5.01
264,Torrijos,ES,1665456256,39.9819,-4.2835,65.07,65,90,5.66
265,Peruíbe,BR,1665456120,-24.32,-46.9983,65.03,95,100,2.62
266,Jumla,NP,1665456256,29.2747,82.1838,60.82,73,42,1.86
267,Mēga,ET,1665456257,4.05,38.3,55.18,90,10,11.86
268,Barbacena,BR,1665456257,-21.2258,-43.7736,62.46,94,66,6.62
269,Prainha,BR,1665456258,-1.8,-53.48,72.59,95,96,0.51
270,Nyurba,RU,1665456258,63.2842,118.3319,31.33,83,76,4.81
271,Asău,RO,1665456258,46.4333,26.4,32.92,78,83,3.51
272,Astara,AZ,1665456259,38.5,48.6667,46.38,50,0,3.87
273,Lorengau,PG,1665456259,-2.0226,147.2712,85.05,58,28,8.39
274,Hobyo,SO,1665456260,5.3505,48.5268,76.71,84,2,17.67
275,Amarante do Maranhão,BR,1665456260,-5.5667,-46.7422,75.74,63,76,1.81
276,Tigil',RU,1665456261,57.8,158.6667,39.45,84,79,12.03
