,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
277,Wewak,PG,1665456261,-3.5534,143.6268,83.46,77,93,6.2
278,Gizo Government Station,SB,1665456262,-8.103,156.8419,83.44,66,84,3.4
279,Resistencia,AR,1665456262,-27.4606,-58.9839,60.66,60,0,4.61
280,Juxtlahuaca,MX,1665456262,17.4294,-99.1467,70.02,82,99,4.27
281,Lüderitz,NA,1665456263,-26.6481,15.1594,56.46,95,97,2.59
282,Pitimbu,BR,1665456263,-7.4706,-34.8086,77.59,77,32,11.9
283,Avera,US,1665456264,33.194,-82.5271,63.3,86,0,7.09
284,La Esperanza,GT,1665456264,14.8667,-91.5667,51.35,99,100,2.3
285,Caconda,AO,1665456264,-13.7333,15.0667,59.94,82,59,2.15
286,Anadyr,RU,1665455982,64.75,177.4833,28.49,63,20,13.42
287,Balabac,PH,1665456265,7.9868,117.0645,82.94,76,100,10.02
288,Glubokiy,RU,1665456265,48.5217,40.3258,47.39,93,39,5.68
289,San Patricio,US,1665456266,28.017,-97.5169,77.27,62,6,10.2
290,Grand Gaube,MU,1665456266,-20.0064,57.6608,72.37,66,83,5.99
291,San Quintín,MX,1665456267,30.4833,-115.95,67.53,84,62,11.99
292,Sistranda,NO,1665456267,63.7256,8.834,44.56,69,99,30.27
293,Žiežmariai,LT,1665456267,54.8,24.45,44.31,77,32,14.83
294,Bowen,AU,1665456268,-20.0167,148.2333,78.58,68,75,19.91
295,Mnogovershinnyy,RU,1665456268,53.9353,139.9242,37.76,98,100,8.05
296,Valdemārpils,LV,1665456269,57.3707,22.5919,46.96,69,100,12.35
297,Tilichiki,RU,1665456269,60.4667,166.1,36.28,72,100,13.22
298,Tabou,CI,1665456190,4.423,-7.3528,75.45,91,90,4.29
299,Hamilton,US,1665456067,39.1834,-84.5333,53.4,72,0,5.75
300,Hualmay,PE,1665456270,-11.0964,-77.6139,61.39,86,50,11.72
301,Manapparai,IN,1665456270,10.6,78.4167,77.86,74,86,4.25
302,Dikson,RU,1665456270,73.5069,80.5464,34.12,97,100,9.33
303,Usinsk,RU,1665456271,65.9939,57.5281,39.69,81,100,20.47
304,São João da Barra,BR,1665456271,-21.6403,-41.0511,73.54,89,68,15.52
305,Acará,BR,1665456271,-1.9608,-48.1967,72.63,92,86,2.13
306,Guarapari,BR,1665456272,-20.6667,-40.4975,71.28,91,4,7.85
307,Nantucket,US,1665456072,41.2835,-70.0995,55.96,83,0,6.91
308,San Policarpo,PH,1665456272,12.1791,125.5072,88.02,63,52,4.0
309,Sechura,PE,1665456273,-5.5569,-80.8222,63.09,84,27,13.78
310,Peniche,PT,1665456273,39.3558,-9.3811,62.31,98,35,6.11
311,Le Vauclin,MQ,1665456273,14.5452,-60.8388,77.05,94,100,5.75
312,Samarai,PG,1665456274,-10.6167,150.6667,83.01,73,16,10.8
313,Tuatapere,NZ,1665456274,-46.1333,167.6833,50.79,62,59,11.72
314,Oistins,BB,1665456275,13.0667,-59.5333,82.49,83,40,16.11
315,Buala,SB,1665456275,-8.145,159.5921,83.12,67,41,1.88
316,Verkhoyansk,RU,1665456276,67.5447,133.385,21.94,84,19,4.85
317,Alghero,IT,1665456276,40.5589,8.3181,60.89,94,100,3.44
318,Sidi Ali,DZ,1665456277,36.0998,0.4206,67.24,82,93,1.59
319,Kapaa,US,1665456171,22.0752,-159.319,79.92,74,75,6.91
320,La Romana,DO,1665456278,18.4273,-68.9728,77.36,94,20,0.0
321,Voh,NC,1665456278,-20.9667,164.7,81.54,56,79,1.79
322,Kenora,CA,1665456235,49.8167,-94.4337,54.57,62,0,9.22
323,Geraldton,AU,1665456279,-28.7667,114.6,66.61,45,100,14.97
324,Consolación del Sur,CU,1665456279,22.5047,-83.5136,74.66,88,100,4.18
325,Kulykivka,UA,1665456279,51.3735,31.6466,37.76,91,0,7.07
326,Puerto del Rosario,ES,1665456280,28.5004,-13.8627,69.55,78,40,4.61
327,Dryden,CA,1665456280,49.7833,-92.7503,50.29,71,0,9.22
328,Balkanabat,TM,1665456281,39.5108,54.3671,66.92,26,20,2.42
329,Shimoda,JP,1665456281,34.6667,138.95,71.1,50,93,22.21
330,Guymon,US,1665456281,36.6828,-101.4816,62.6,72,0,10.36
331,Ketchikan,US,1665456282,55.3422,-131.6461,52.27,62,100,0.0
332,Velikiy Ustyug,RU,1665456282,60.7644,46.3106,36.91,96,16,5.64
333,Lompoc,US,1665456282,34.6391,-120.4579,60.19,89,100,5.75
334,Muş Province,TR,1665456283,39.0,41.75,37.44,61,2,3.11
335,Sungai Penuh,ID,1665456283,-2.0833,101.3833,68.54,86,100,1.61
336,Kirakira,SB,1665456284,-10.4544,161.9205,82.45,75,33,2.84
337,Petropavlovsk-Kamchatskiy,RU,1665456284,53.0452,158.6483,45.19,57,0,4.47
338,Yangi Marg`ilon,UZ,1665456284,40.4272,71.7189,52.52,54,0,4.61
339,Vetlanda,SE,1665456285,57.4289,15.0776,45.68,85,75,13.13
340,Saint-Joseph,RE,1665456285,-21.3667,55.6167,66.58,76,32,9.28
341,Qaqortoq,GL,1665456286,60.7167,-46.0333,36.68,96,100,9.75
342,Hailar,CN,1665456287,49.2,119.7,49.23,18,28,6.49
343,La Ronge,CA,1665456287,55.1001,-105.2842,64.65,39,100,4.61
344,Qujing,CN,1665456288,25.4833,103.7833,51.37,91,100,2.06
345,Margate,GB,1665456288,51.3813,1.3862,50.7,74,64,1.01
346,Matagami,CA,1665456288,49.7502,-77.6328,35.71,75,0,8.05
347,Rochegda,RU,1665456289,62.8,43.25,44.55,90,100,6.87
348,Escárcega,MX,1665456289,18.6089,-90.7454,72.28,99,100,7.78
349,Palencia,ES,1665456290,42.4167,-4.5,56.32,67,100,5.23
350,Lima,PE,1665456281,-12.0432,-77.0282,60.91,82,20,13.8
351,Savannah Bight,HN,1665456290,16.45,-85.85,83.07,83,79,23.78
352,Manacapuru,BR,1665456290,-3.2997,-60.6206,78.39,77,57,4.9
353,Taltal,CL,1665456291,-25.4,-70.4833,57.72,70,6,4.0
354,Ventaquemada,CO,1665456291,5.3675,-73.5208,48.52,96,93,1.48
355,Beidao,CN,1665456292,34.5686,105.8933,56.39,60,98,6.15
356,Wanaka,NZ,1665456292,-44.7,169.15,56.55,61,58,6.11
357,Rawson,AR,1665456053,-43.3002,-65.1023,58.6,40,81,13.69
358,Puerto Baquerizo Moreno,EC,1665456292,-0.9,-89.6,66.92,78,98,11.63
359,Saint-Philippe,RE,1665456293,-21.3585,55.7679,67.59,78,42,10.27
360,Ginir,ET,1665456293,7.1333,40.7,59.09,80,86,2.42
361,Fort Nelson,CA,1665456293,58.8053,-122.7002,54.99,28,75,13.8
362,Hunterville,NZ,1665456294,-39.9333,175.5667,54.7,72,100,7.43
363,Shām Churāsi,IN,1665456294,31.4997,75.7494,72.07,83,44,8.1
364,Severo-Kuril'sk,RU,1665456295,50.6789,156.125,45.73,93,100,25.79
365,Zaysan,KZ,1665456295,47.4667,84.8667,45.63,49,7,5.7
366,Dayong,CN,1665456295,25.0209,118.2898,75.45,33,0,9.82
367,Karakol,KG,1665456296,42.4907,78.3936,46.08,16,0,1.23
368,Daru,PG,1665456296,-9.0763,143.2092,81.88,82,96,7.65
369,Xai-Xai,MZ,1665456297,-25.0519,33.6442,70.7,89,35,1.81
370,Ormara,PK,1665456297,25.2088,64.6357,81.28,34,0,4.29
371,Abnūb,EG,1665456297,27.2696,31.1511,69.24,66,0,10.22
372,Nome,US,1665456298,64.5011,-165.4064,33.87,60,0,12.66
373,Port Shepstone,ZA,1665456298,-30.7414,30.455,68.86,91,100,12.44
374,Bereket,TM,1665456299,39.2446,55.5154,64.6,23,93,1.14
375,San Juan del Sur,NI,1665456299,11.2529,-85.8705,77.9,87,100,4.27
376,Uthal,PK,1665456299,25.8072,66.6219,83.88,30,1,3.98
377,Price,US,1665456300,39.5994,-110.8107,65.46,19,0,10.36
378,Paysandu,UY,1665456206,-32.3214,-58.0756,52.88,76,9,8.28
379,Mindelheim,DE,1665456300,48.05,10.4833,52.5,91,75,4.61
380,Laguna,US,1665456301,38.421,-121.4238,78.44,33,0,4.61
381,Kabare,CD,1665456301,-2.4683,28.8242,60.62,83,95,1.23
382,Abu Kamal,SY,1665456301,34.4506,40.9171,70.57,39,0,6.55
383,Kumul,CN,1665456303,42.8,93.45,57.76,25,18,11.1
384,Turbat,PK,1665456303,26.0023,63.044,78.57,9,0,7.85
385,Saint-François,FR,1665456304,46.4154,3.9054,54.84,94,0,3.44
386,Goderich,CA,1665456304,43.7501,-81.7165,39.52,87,30,3.44
387,Caucayá,CO,1665456304,-0.1934,-74.7819,70.18,98,78,1.28
388,Lagoa,PT,1665456305,39.05,-27.9833,69.21,86,0,3.71
389,Idenao,CM,1665456305,4.2475,9.0047,75.15,95,100,2.98
390,Sawtell,AU,1665456306,-30.3833,153.1,69.82,49,40,16.11
391,Umuahia,NG,1665456306,5.5263,7.4896,71.82,98,100,1.21
392,Husavik,IS,1665456044,66.0449,-17.3389,21.29,85,65,13.44
393,Faya,SA,1665456307,18.3851,42.4509,55.92,33,5,4.23
394,Demba,CD,1665456307,-5.51,22.2667,67.89,85,88,2.26
395,Turaif,SA,1665456187,31.6725,38.6637,61.05,59,0,6.91
396,Lata,PT,1665456308,40.1629,-8.3327,60.39,93,99,3.18
397,Virginia Beach,US,1665456074,36.8529,-75.978,55.31,71,0,0.0
398,Fort Walton Beach,US,1665456206,30.4058,-86.6188,66.74,44,0,11.99
399,Dillon,US,1665455866,34.4166,-79.3712,62.42,71,94,5.88
400,Isla Mujeres,MX,1665456103,21.2311,-86.731,80.17,80,100,12.84
401,Keti Bandar,PK,1665456309,24.1447,67.4497,83.07,55,1,7.47
402,Dongli,CN,1665456309,23.5656,116.8194,73.38,43,0,8.95
403,Mapastepec,MX,1665456310,15.4333,-92.9,74.97,95,100,3.67
404,Sukumo,JP,1665456310,32.9333,132.7333,67.35,57,83,12.55
405,Adrar,MR,1665456310,20.5022,-10.0711,86.23,24,9,8.34
406,Havøysund,NO,1665456311,70.9963,24.6622,44.83,80,100,14.52
407,Xiantao,CN,1665456311,30.3833,113.4,66.52,26,1,6.35
408,Charlottetown,CA,1665456173,46.2352,-63.1267,41.74,67,20,4.61
409,Benguela,AO,1665456312,-12.5763,13.4055,70.84,86,28,2.77
410,São Filipe,CV,1665456312,14.8961,-24.4956,78.4,79,35,6.08
411,Río Gallegos,AR,1665456313,-51.6226,-69.2181,41.05,60,20,2.3
412,Oddur,SO,1665456313,4.1213,43.8894,68.59,85,13,11.12
413,Acahay,PY,1665456313,-25.9167,-57.15,49.06,98,51,1.34
414,Forest Grove,US,1665456314,45.5198,-123.1107,66.16,72,40,9.22
415,Grindavik,IS,1665456314,63.8424,-22.4338,43.27,87,100,20.71
416,Laas,IT,1665456315,46.6166,10.7002,46.36,90,46,4.32
417,Conceição do Araguaia,BR,1665456315,-8.2578,-49.2647,84.11,43,100,6.49
418,Neryungri,RU,1665456315,56.6709,124.6491,32.0,78,99,5.23
419,Tura,IN,1665456316,25.5198,90.2201,73.81,96,88,4.25
420,Shingū,JP,1665456316,33.7333,135.9833,71.47,42,99,3.67
421,Maamba,ZM,1665456317,-17.3667,27.15,67.53,35,0,1.72
422,Constitución,CL,1665456317,-35.3333,-72.4167,50.29,83,1,10.45
423,Luanda,AO,1665456318,-8.8368,13.2343,75.2,83,75,5.75
424,Kichha,IN,1665456318,28.9167,79.5,71.08,84,33,5.14
425,Tepic,MX,1665456319,21.5,-104.9,67.93,88,14,1.79
426,Nabire,ID,1665456319,-3.3667,135.4833,84.67,74,99,4.7
427,Muisne,EC,1665456320,0.6,-80.0333,74.12,84,100,5.37
428,‘Āhuimanu,US,1665456320,21.4447,-157.8378,83.08,73,20,9.22
429,Puerto El Triunfo,SV,1665456320,13.2833,-88.55,76.05,91,100,5.53
430,Vostok,RU,1665456321,46.4856,135.8833,38.46,98,100,10.67
431,Safaga,EG,1665456321,26.7292,33.9365,76.21,55,0,15.77
432,Egvekinot,RU,1665456322,66.3167,-179.1667,16.2,66,10,6.13
433,Bethel,US,1665456322,41.3712,-73.414,48.16,84,0,3.44
434,Paramonga,PE,1665456322,-10.6667,-77.8333,61.03,90,52,9.91
435,Consett,GB,1665456323,54.854,-1.8316,42.58,84,89,6.51
436,Rocha,UY,1665456323,-34.4833,-54.3333,42.53,89,1,4.54
437,Kawalu,ID,1665456324,-7.3817,108.2082,78.73,83,100,3.87
438,Ardakān,IR,1665456324,32.31,54.0175,67.84,15,0,2.44
439,Guadalupe y Calvo,MX,1665456324,26.1,-106.9667,49.15,71,1,3.24
440,Panórama,GR,1665456325,40.5878,23.0315,60.24,67,100,5.99
441,Valley,US,1665456284,45.1277,-116.1262,48.81,44,83,5.14
442,Tateyama,JP,1665456325,34.9833,139.8667,77.09,45,84,15.82
443,Gandajika,CD,1665456326,-6.75,23.95,67.15,70,11,1.95
444,Lázaro Cárdenas,MX,1665456326,17.9583,-102.2,80.47,85,91,1.81
445,Mehamn,NO,1665456327,71.0357,27.8492,42.75,87,75,11.5
446,Homer,US,1665456327,59.6425,-151.5483,39.63,82,100,8.01
447,Outjo,NA,1665456327,-20.1167,16.15,62.06,62,17,6.31
448,Alofi,NU,1665456328,-19.0595,-169.9187,80.49,78,75,13.8
449,Samagaltay,RU,1665456328,50.6022,95.0047,39.0,56,14,3.47
450,Manakara,MG,1665456329,-22.1333,48.0167,62.1,86,0,6.76
451,Lyuban',BY,1665456329,52.7985,28.0048,38.77,81,97,6.51
452,Moussoro,TD,1665456330,13.6408,16.4901,85.32,35,98,3.85
453,Esil,KZ,1665456078,51.9556,66.4042,45.07,58,7,6.58
454,Labuhan,ID,1665456330,-6.8844,112.2051,85.15,67,99,6.04
455,Yulara,AU,1665456331,-25.2406,130.9889,87.53,15,36,13.27
456,Yook,PH,1665456331,13.2261,121.964,85.66,70,17,7.07
457,Barcelos,PT,1665456331,41.5388,-8.6151,61.38,91,0,3.71
458,Discovery Bay,US,1665456332,37.9085,-121.6002,74.57,48,0,11.5
459,Xapuri,BR,1665456332,-10.6517,-68.5044,75.22,78,37,0.67
460,Tual,ID,1665456332,-5.6667,132.75,83.14,75,71,7.78
461,Haines Junction,CA,1665456333,60.7522,-137.5108,40.95,52,89,5.75
462,Mīrābād,AF,1665456333,30.4362,61.8383,66.51,23,0,6.38
463,Quatre Cocos,MU,1665456333,-20.2078,57.7625,72.09,71,67,12.46
464,Shubarshi,KZ,1665456334,48.5872,57.1869,48.24,44,100,11.1
465,Kiryat Gat,IL,1665456074,31.61,34.7642,67.1,75,0,4.25
466,Aberdeen,GB,1665456334,57.1437,-2.0981,45.73,82,95,6.91
467,Amnat Charoen,TH,1665456335,15.9167,104.75,76.95,70,100,17.45
468,Jaca,ES,1665456335,42.569,-0.5499,61.02,76,100,2.75
469,Sabla,NG,1665456335,12.7525,4.7077,79.56,63,5,6.11
470,Presidencia Roque Sáenz Peña,AR,1665456336,-26.7852,-60.4388,53.28,60,92,3.15
471,Baykit,RU,1665456336,61.67,96.37,40.01,97,100,8.68
472,Hoima,UG,1665456337,1.4356,31.3436,62.04,97,75,2.62
473,Pimentel,PE,1665456337,-6.8367,-79.9342,62.35,87,77,14.32
474,Nouadhibou,MR,1665456337,20.931,-17.0347,75.18,73,83,12.66
475,Aniva,RU,1665456338,46.7144,142.5294,53.11,80,72,14.67
476,Tiznit Province,MA,1665456338,29.5833,-9.5,60.24,86,25,1.54
477,Maun,BW,1665456339,-19.9833,23.4167,66.87,20,0,9.26
478,Yumen,CN,1665456339,40.2833,97.2,52.88,17,0,12.57
479,Umluj,SA,1665456340,25.0213,37.2685,80.89,54,0,8.84
480,Puerto Escondido,MX,1665456340,15.85,-97.0667,79.52,76,100,3.31
481,San Jose de Guanipa,VE,1665456341,8.8872,-64.1651,74.95,84,8,9.35
482,Nchelenge,ZM,1665456341,-9.3451,28.734,69.04,38,54,8.32
483,Port Lincoln,AU,1665456055,-34.7333,135.8667,65.26,62,100,9.82
484,Santa Maria,BR,1665456341,-29.6842,-53.8069,52.9,100,100,6.91
485,Puerto Madero,MX,1665456342,14.7208,-92.4215,75.4,100,100,21.85
486,Vila do Maio,CV,1665456342,15.1333,-23.2167,77.79,79,97,13.06
487,Washougal,US,1665456343,45.5826,-122.3534,66.83,72,100,5.75
488,Mabaruma,GY,1665456343,8.2,-59.7833,75.24,91,100,2.08
489,Coyhaique,CL,1665456343,-45.5752,-72.0662,48.15,66,75,4.61
490,Domoni,KM,1665456344,-12.2569,44.5319,73.58,80,0,4.99
491,Dongdu,CN,1665456344,35.85,117.7,59.63,26,0,0.67
492,Kibala,TD,1665456344,9.1104,18.3463,70.84,94,100,2.57
493,Araxá,BR,1665456317,-19.5933,-46.9406,69.76,83,0,4.61
494,Ayan,RU,1665456345,56.45,138.1667,37.26,86,80,15.68
495,Walvis Bay,NA,1665456345,-22.9575,14.5053,58.15,94,24,4.61
496,Kribi,CM,1665456345,2.95,9.9167,75.06,89,100,2.01
497,Tiarei,PF,1665456346,-17.5333,-149.3333,77.02,79,15,14.9
498,Berëzovka,BY,1665456346,53.7214,25.4993,41.88,82,5,10.36
499,Paamiut,GL,1665456346,61.994,-49.6678,36.21,79,100,21.16
500,Marystown,CA,1665456347,47.1666,-55.1483,48.7,65,100,13.33
501,Isangel,VU,1665456347,-19.55,169.2667,80.71,78,75,4.61
502,Elin Pelin,BG,1665456348,42.6667,23.6,55.22,76,20,12.66
503,Tomé,CL,1665456348,-36.6167,-72.95,48.81,85,9,4.85
504,Port Blair,IN,1665456348,11.6667,92.75,81.73,72,88,7.2
505,Arlit,NE,1665456349,18.7369,7.3853,82.0,18,4,7.43
506,Wyndham,US,1665456349,37.6985,-77.6125,47.57,84,0,0.0
507,Golden,US,1665456289,39.7555,-105.2211,58.37,34,20,5.75
508,Vilcún,CL,1665456350,-38.65,-72.2333,43.54,99,13,2.06
509,Yuanping,CN,1665456350,38.7153,112.7575,53.26,23,1,3.4
510,Lugovoy,KZ,1665456350,42.9472,72.7644,48.85,34,0,6.46
511,Oyotún,PE,1665456351,-6.8519,-79.3036,71.33,69,88,2.42
512,Mopipi,BW,1665456351,-21.1833,24.8833,70.3,51,0,9.69
513,Belyy Yar,RU,1665456352,53.6039,91.3903,44.85,77,0,13.42
514,Daşoguz,TM,1665456352,41.8363,59.9666,44.55,45,0,11.5
515,Paita,PE,1665456353,-5.0892,-81.1144,63.37,84,52,12.55
516,Macará,EC,1665456353,-4.3833,-79.95,68.11,75,63,2.82
517,Ust-Maya,RU,1665456353,60.4167,134.5333,34.32,96,100,4.16
518,Cockburn Town,TC,1665456354,21.4612,-71.1419,83.25,76,13,17.56
519,Upington,ZA,1665456354,-28.4478,21.2561,66.58,22,0,6.91
520,Viedma,AR,1665456355,-40.8135,-62.9967,49.93,72,0,10.87
521,Newport,GB,1665455864,51.5877,-2.9984,43.3,84,78,1.32
522,Turukhansk,RU,1665456355,65.8167,87.9833,38.16,94,100,12.53
523,Rome,US,1665456356,43.2128,-75.4557,40.05,92,0,1.01
524,Leningradskiy,RU,1665456356,69.3833,178.4167,23.27,68,100,22.1
525,Kotovo,RU,1665456357,50.3211,44.8012,51.76,92,100,6.22
526,Maningrida,AU,1665456357,-12.0667,134.2667,93.61,39,81,11.27
527,Chiredzi,ZW,1665456357,-21.05,31.6667,66.07,95,45,5.17
528,Hay River,CA,1665456358,60.8156,-115.7999,49.98,43,75,21.85
529,Porto Nacional,BR,1665456358,-10.7081,-48.4172,80.6,28,99,3.02
530,Loandjili,CG,1665456359,-4.7561,11.8578,75.31,94,40,4.61
531,Krasnosel'kup,RU,1665456359,65.7,82.4667,37.81,97,100,15.55
532,San Mateo del Mar,MX,1665456359,16.2,-95.0,81.68,65,100,25.3
533,Pangnirtung,CA,1665456360,66.1451,-65.7125,22.39,62,52,2.62
534,Saquarema,BR,1665456309,-22.92,-42.5103,70.65,96,67,4.63
535,Neiafu,TO,1665456361,-18.65,-173.9833,79.48,89,75,5.75
536,Alice Springs,AU,1665456361,-23.7,133.8833,88.21,40,80,10.36
537,Manta,EC,1665456361,-0.95,-80.7333,71.38,83,75,6.91
538,Praia,CV,1665456362,14.9215,-23.5087,77.54,88,40,11.5
539,Sivagiri,IN,1665456362,9.3333,77.4333,81.46,75,74,3.29
540,Severodvinsk,RU,1665456363,64.5635,39.8302,46.51,90,87,11.18
541,Agadez,NE,1665456363,19.75,10.25,75.33,20,1,8.88
542,Denpasar,ID,1665456213,-8.65,115.2167,83.71,88,40,9.22
543,Broken Hill,AU,1665456364,-31.95,141.4333,70.9,22,100,11.43
544,Araouane,ML,1665456364,18.9048,-3.5265,88.56,16,1,5.12
545,Diamantino,BR,1665456365,-14.4086,-56.4461,74.39,76,96,4.92
546,Salalah,OM,1665456365,17.0151,54.0924,71.69,68,0,3.44
547,Carballo,ES,1665456365,43.213,-8.691,59.63,95,53,2.04
548,Korla,CN,1665456366,41.7597,86.1469,56.35,42,98,17.4
549,The Pas,CA,1665456308,53.8251,-101.2541,60.82,41,0,8.05
550,Lae,PG,1665456366,-6.7221,146.9847,90.27,75,100,3.15
551,Bentiu,SS,1665456366,9.2333,29.8333,68.68,90,3,2.17
552,Kismayo,SO,1665456367,-0.3582,42.5454,76.73,78,21,15.12
553,Badiraguato,MX,1665456367,25.3667,-107.5167,76.71,64,0,4.12
